s,M_k
0.001,1.18295699204663
0.004002002002002,4.6875266614214
0.007004004004004,8.11940359574329
0.010006006006006,11.4754507740531
0.013008008008008,14.752894671101
0.01601001001001,17.9493203629195
0.019012012012012,21.0626642402701
0.022014014014014,24.0912045850769
0.025016016016016,27.0335502722229
0.028018018018018,29.888627861069
0.03102002002002,32.6556673382886
0.034022022022022,35.3341867667022
0.037024024024024,37.9239760843601
0.040026026026026,40.4250802848054
0.043028028028028,42.8377821938673
0.04603003003003,45.1625850410863
0.049032032032032,47.4001950055069
0.052034034034034,49.5515038966001
0.055036036036036,51.6175721119255
0.058038038038038,53.5996119942155
0.06104004004004,55.4989716921661
0.064042042042042,57.3171196116221
0.0670440440440441,59.0556295272494
0.0700460460460461,60.7161664093495
0.073048048048048,62.3004730062863
0.0760500500500501,63.8103572101326
0.0790520520520521,65.247680221624
0.0820540540540541,66.6143455203173
0.0850560560560561,67.9122886369725
0.0880580580580581,69.1434677175392
0.0910600600600601,70.3098548616787
0.0940620620620621,71.4134282134045
0.0970640640640641,72.4561647770882
0.100066066066066,73.4400339286714
0.103068068068068,74.366991589348
0.10607007007007,75.2389750271453
0.109072072072072,76.0578982506531
0.112074074074074,76.8256479585323
0.115076076076076,77.5440800083094
0.118078078078078,78.2150163682479
0.12108008008008,78.8402425167166
0.124082082082082,79.421505254388
0.127084084084084,79.9605108957374
0.130086086086086,80.4589238076271
0.133088088088088,80.9183652642051
0.13609009009009,81.3404125888919
0.139092092092092,81.7265985558219
0.142094094094094,82.0784110247469
0.145096096096096,82.3972927850415
0.148098098098098,82.6846415860859
0.1511001001001,82.9418103328961
0.154102102102102,83.1701074274354
0.157104104104104,83.3707972375451
0.160106106106106,83.5451006768802
0.163108108108108,83.6941958806186
0.16611011011011,83.8192189630248
0.169112112112112,83.9212648441863
0.172114114114114,84.0013881344116
0.175116116116116,84.0606040658687
0.178118118118118,84.099889462067
0.18112012012012,84.1201837367316
0.184122122122122,84.1223899145035
0.187124124124124,84.1073756667107
0.190126126126126,84.075974356207
0.193128128128128,84.0289860859639
0.19613013013013,83.967178746735
0.199132132132132,83.8912890596876
0.202134134134134,83.8020236104263
0.205136136136136,83.7000598713089
0.208138138138138,83.5860472093931
0.21114014014014,83.4606078777425
0.214142142142142,83.324337988178
0.217144144144144,83.1778084638782
0.220146146146146,83.0215659705196
0.223148148148148,82.8561338249038
0.22615015015015,82.6820128802481
0.229152152152152,82.4996823875193
0.232154154154154,82.3096008323713
0.235156156156156,82.1122067474048
0.238158158158158,81.9079194996117
0.24116016016016,81.6971400529854
0.244162162162162,81.4802517063872
0.247164164164164,81.2576208068532
0.250166166166166,81.0295974386043
0.253168168168168,80.7965160880912
0.25617017017017,80.5586962854644
0.259172172172172,80.3164432229088
0.262174174174174,80.0700483503218
0.265176176176176,79.8197899488478
0.268178178178178,79.5659336828087
0.27118018018018,79.3087331305901
0.274182182182182,79.0484302950584
0.277184184184184,78.7852560940955
0.280186186186186,78.5194308318451
0.283188188188188,78.2511646512659
0.28619019019019,77.9806579685896
0.289192192192192,77.7081018902793
0.292194194194194,77.4336786130763
0.295196196196196,77.1575618077211
0.298198198198198,76.8799169869229
0.3012002002002,76.6009018581424
0.304202202202202,76.3206666617447
0.307204204204204,76.0393544950631
0.310206206206206,75.7571016229058
0.313208208208208,75.4740377750214
0.31621021021021,75.1902864310268
0.319212212212212,74.9059650932879
0.322214214214214,74.6211855482253
0.325216216216216,74.3360541165091
0.328218218218218,74.050671892585
0.33122022022022,73.7651349739659
0.334222222222222,73.4795346807043
0.337224224224224,73.1939577654487
0.340226226226226,72.9084866144722
0.343228228228228,72.6231994400477
0.34623023023023,72.3381704645312
0.349232232232232,72.0534700964997
0.352234234234234,71.7691650992789
0.355236236236236,71.4853187521806
0.358238238238238,71.2019910047621
0.36124024024024,70.9192386244001
0.364242242242242,70.6371153374687
0.367244244244244,70.3556719643923
0.370246246246246,70.0749565488372
0.373248248248248,69.795014481294
0.37625025025025,69.5158886172925
0.379252252252252,69.237619390481
0.382254254254254,68.9602449207909
0.385256256256256,68.6838011179012
0.388258258258258,68.4083217802062
0.39126026026026,68.13383868948
0.394262262262262,67.8603817014278
0.397264264264264,67.5879788323006
0.400266266266266,67.3166563417452
0.403268268268268,67.046438812054
0.40627027027027,66.7773492239718
0.409272272272272,66.5094090292081
0.412274274274274,66.2426382198008
0.415276276276276,65.9770553944667
0.418278278278278,65.7126778220715
0.42128028028028,65.4495215023447
0.424282282282282,65.1876012239593
0.427284284284284,64.9269306200917
0.430286286286286,64.6675222215711
0.433288288288288,64.4093875077244
0.43629029029029,64.1525369550167
0.439292292292292,63.8969800835822
0.442294294294294,63.64272550174
0.445296296296296,63.3897809485803
0.448298298298298,63.1381533347054
0.4513003003003,62.8878487812072
0.454302302302302,62.6388726569555
0.457304304304304,62.3912296142725
0.460306306306306,62.1449236230625
0.463308308308308,61.8999580034642
0.46631031031031,61.6563354570894
0.469312312312312,61.4140580969091
0.472314314314314,61.1731274758471
0.475316316316316,60.933544614134
0.478318318318318,60.6953100254786
0.48132032032032,60.4584237421049
0.484322322322322,60.2228853387058
0.487324324324324,59.9886939553583
0.490326326326326,59.7558483194469
0.493328328328328,59.5243467666355
0.49633033033033,59.2941872609314
0.499332332332332,59.0653674138781
0.502334334334334,58.8378845029157
0.505336336336336,58.6117354889436
0.508338338338338,58.3869170331207
0.51134034034034,58.1634255129349
0.514342342342342,57.9412570375734
0.517344344344344,57.7204074626239
0.520346346346346,57.5008724041351
0.523348348348348,57.2826472520632
