s,eta
0.001,0.544245450503818
0.004002002002002,0.784677938229611
0.007004004004004,0.832388006655086
0.010006006006006,0.849365048368552
0.013008008008008,0.855816928505983
0.01601001001001,0.857439870712198
0.019012012012012,0.856462128926974
0.022014014014014,0.853934548089113
0.025016016016016,0.850417485504429
0.028018018018018,0.846237065087218
0.03102002002002,0.841595971532082
0.034022022022022,0.836626788857411
0.037024024024024,0.831419879070069
0.040026026026026,0.826038934216351
0.043028028028028,0.820530124009733
0.04603003003003,0.814927718372077
0.049032032032032,0.809257674086659
0.052034034034034,0.80353999669832
0.055036036036036,0.797790339356075
0.058038038038038,0.792021111555736
0.06104004004004,0.786242264580459
0.064042042042042,0.780461858572037
0.0670440440440441,0.774686478969974
0.0700460460460461,0.768921547062523
0.073048048048048,0.763171554823402
0.0760500500500501,0.757440244766014
0.0790520520520521,0.751730749303426
0.0820540540540541,0.746045699897104
0.0850560560560561,0.740387313397
0.0880580580580581,0.734757460971928
0.0910600600600601,0.729157723615587
0.0940620620620621,0.723589437203029
0.0970640640640641,0.718053729341166
0.100066066066066,0.71255154972185
0.103068068068068,0.707083695290318
0.10607007007007,0.701650831246304
0.109072072072072,0.696253508672353
0.112074074074074,0.690892179414591
0.115076076076076,0.685567208711378
0.118078078078078,0.680278885965087
0.12108008008008,0.675027433974296
0.124082082082082,0.6698130168826
0.127084084084084,0.664635747052164
0.130086086086086,0.659495691031946
0.133088088088088,0.654392874760091
0.13609009009009,0.649327288115581
0.139092092092092,0.644298888914519
0.142094094094094,0.639307606430489
0.145096096096096,0.634353344505427
0.148098098098098,0.629435984306795
0.1511001001001,0.624555386778145
0.154102102102102,0.619711394822907
0.157104104104104,0.614903835255286
0.160106106106106,0.610132520547176
0.163108108108108,0.605397250395839
0.16611011011011,0.600697813133598
0.169112112112112,0.596033986997918
0.172114114114114,0.591405541277691
0.175116116116116,0.586812237349527
0.178118118118118,0.582253829616007
0.18112012012012,0.577730066356374
0.184122122122122,0.573240690498815
0.187124124124124,0.568785440322381
0.190126126126126,0.564364050095624
0.193128128128128,0.559976250658212
0.19613013013013,0.555621769951049
0.199132132132132,0.551300333499817
0.202134134134134,0.547011664856311
0.205136136136136,0.542755486001453
0.208138138138138,0.538531517713473
0.21114014014014,0.534339479904379
0.214142142142142,0.530179091927502
0.217144144144144,0.526050072858634
0.220146146146146,0.521952141753035
0.223148148148148,0.51788501788034
0.22615015015015,0.513848420939226
0.229152152152152,0.509842071253507
0.232154154154154,0.505865689951187
0.235156156156156,0.501918999127841
0.238158158158158,0.498001721995583
0.24116016016016,0.494113583018779
0.244162162162162,0.490254308037529
0.247164164164164,0.486423624379897
0.250166166166166,0.482621260963742
0.253168168168168,0.47884694838897
0.25617017017017,0.475100419020929
0.259172172172172,0.471381407065621
0.262174174174174,0.467689648637366
0.265176176176176,0.46402488181947
0.268178178178178,0.460386846718433
0.27118018018018,0.456775285512184
0.274182182182182,0.453189942492779
0.277184184184184,0.449630564103983
0.280186186186186,0.44609689897412
0.283188188188188,0.442588697944531
0.28619019019019,0.439105714093982
0.289192192192192,0.435647702759314
0.292194194194194,0.432214421552613
0.295196196196196,0.428805630375175
0.298198198198198,0.425421091428482
0.3012002002002,0.42206056922244
0.304202202202202,0.418723830581064
0.307204204204204,0.415410644645816
0.310206206206206,0.41212078287677
0.313208208208208,0.408854019051771
0.31621021021021,0.405610129263742
0.319212212212212,0.402388891916289
0.322214214214214,0.399190087717731
0.325216216216216,0.39601349967368
0.328218218218218,0.392858913078296
0.33122022022022,0.38972611550431
0.334222222222222,0.386614896791938
0.337224224224224,0.383525049036751
0.340226226226226,0.380456366576621
0.343228228228228,0.377408645977792
0.34623023023023,0.374381686020183
0.349232232232232,0.371375287681968
0.352234234234234,0.368389254123516
0.355236236236236,0.365423390670745
0.358238238238238,0.362477504797949
0.36124024024024,0.359551406110154
0.364242242242242,0.356644906325044
0.367244244244244,0.353757819254523
0.370246246246246,0.350889960785926
0.373248248248248,0.348041148862953
0.37625025025025,0.345211203466339
0.379252252252252,0.342399946594303
0.382254254254254,0.339607202242813
0.385256256256256,0.336832796385691
0.388258258258258,0.334076556954587
0.39126026026026,0.331338313818856
0.394262262262262,0.328617898765348
0.397264264264264,0.325915145478147
0.400266266266266,0.323229889518274
0.403268268268268,0.320561968303376
0.40627027027027,0.317911221087414
0.409272272272272,0.315277488940371
0.412274274274274,0.312660614728
0.415276276276276,0.310060443091618
0.418278278278278,0.307476820427956
0.42128028028028,0.3049095948691
0.424282282282282,0.302358616262501
0.427284284284284,0.299823736151093
0.430286286286286,0.297304807753515
0.433288288288288,0.294801685944442
0.43629029029029,0.292314227235052
0.439292292292292,0.289842289753608
0.442294294294294,0.287385733226193
0.445296296296296,0.284944418957575
0.448298298298298,0.282518209812228
0.4513003003003,0.28010697019551
0.454302302302302,0.277710566034994
0.457304304304304,0.275328864761963
0.460306306306306,0.272961735293073
0.463308308308308,0.270609048012186
0.46631031031031,0.268270674752376
0.469312312312312,0.265946488778108
0.472314314314314,0.263636364767595
0.475316316316316,0.26134017879534
0.478318318318318,0.259057808314848
0.48132032032032,0.25678913214153
0.484322322322322,0.254534030435787
0.487324324324324,0.252292384686278
0.490326326326326,0.250064077693374
0.493328328328328,0.247848993552794
0.49633033033033,0.245647017639432
0.499332332332332,0.243458036591368
0.502334334334334,0.241281938294059
0.505336336336336,0.239118611864724
0.508338338338338,0.236967947636911
0.51134034034034,0.234829837145241
0.514342342342342,0.232704173110352
0.517344344344344,0.230590849424008
0.520346346346346,0.228489761134404
