s,I_2
0.001,0.2175183469148
0.004002002002002,0.866148502113703
0.007004004004004,1.50783201870981
0.010006006006006,2.14207893768817
0.013008008008008,2.76843694461296
0.01601001001001,3.38649182296341
0.019012012012012,3.99586757973044
0.022014014014014,4.59622626562636
0.025016016016016,5.18726751504526
0.028018018018018,5.76872783292494
0.03102002002002,6.3403796569371
0.034022022022022,6.90203022402539
0.037024024024024,7.45352027028726
0.040026026026026,7.99472259263242
0.043028028028028,8.52554049962937
0.04603003003003,9.04590617755441
0.049032032032032,9.55577899596753
0.052034034034034,10.055143775233
0.055036036036036,10.5440090363523
0.058038038038038,11.0224052513453
0.06104004004004,11.4903831102651
0.064042042042042,11.948011818798
0.0670440440440441,12.3953774383416
0.0700460460460461,12.83258127848
0.073048048048048,13.2597383499309
0.0760500500500501,13.6769758843252
0.0790520520520521,14.0844319256161
0.0820540540540541,14.4822539965077
0.0850560560560561,14.8705978420326
0.0880580580580581,15.2496262513109
0.0910600600600601,15.6195079575628
0.0940620620620621,15.9804166156336
0.0970640640640641,16.3325298556033
0.100066066066066,16.6760284104879
0.103068068068068,17.011095315585
0.10607007007007,17.3379151766586
0.109072072072072,17.6566735038914
0.112074074074074,17.9675561083388
0.115076076076076,18.2707485574987
0.118078078078078,18.5664356865425
0.12108008008008,18.8548011617384
0.124082082082082,19.1360270926198
0.127084084084084,19.4102936895142
0.130086086086086,19.6777789631296
0.133088088088088,19.9386584630064
0.13609009009009,20.1931050517657
0.139092092092092,20.4412887122215
0.142094094094094,20.683376384569
0.145096096096096,20.9195318310136
0.148098098098098,21.1499155253552
0.1511001001001,21.3746845651979
0.154102102102102,21.593992604606
0.157104104104104,21.8079898051764
0.160106106106106,22.0168228036408
0.163108108108108,22.2206346942535
0.16611011011011,22.4195650243501
0.169112112112112,22.6137498015939
0.172114114114114,22.8033215115453
0.175116116116116,22.9884091443039
0.178118118118118,23.1691382290822
0.18112012012012,23.3456308756676
0.184122122122122,23.5180058218255
0.187124124124124,23.6863784857846
0.190126126126126,23.8508610230227
0.193128128128128,24.0115623866524
0.19613013013013,24.1685883907705
0.199132132132132,24.3220417762018
0.202134134134134,24.4720222781273
0.205136136136136,24.6186266951376
0.208138138138138,24.7619489593066
0.21114014014014,24.9020802069221
0.214142142142142,25.0391088495526
0.217144144144144,25.1731206451676
0.220146146146146,25.3041987690627
0.223148148148148,25.4324238843706
0.22615015015015,25.55787421197
0.229152152152152,25.680625599627
0.232154154154154,25.8007515902275
0.235156156156156,25.9183234889813
0.238158158158158,26.0334104294945
0.24116016016016,26.146079438626
0.244162162162162,26.256395500057
0.247164164164164,26.3644216165174
0.250166166166166,26.470218870623
0.253168168168168,26.5738464842901
0.25617017017017,26.6753618767021
0.259172172172172,26.774820720811
0.262174174174174,26.8722769983656
0.265176176176176,26.9677830534623
0.268178178178178,27.0613896446221
0.27118018018018,27.1531459954014
0.274182182182182,27.2430998435484
0.277184184184184,27.3312974887209
0.280186186186186,27.4177838387849
0.283188188188188,27.5026024547145
0.28619019019019,27.5857955941179
0.289192192192192,27.6674042534151
0.292194194194194,27.7474682086941
0.295196196196196,27.8260260552748
0.298198198198198,27.9031152460097
0.3012002002002,27.9787721283519
0.304202202202202,28.0530319802214
0.307204204204204,28.1259290447005
0.310206206206206,28.19749656359
0.313208208208208,28.2677668098576
0.31621021021021,28.3367711190104
0.319212212212212,28.4045399194212
0.322214214214214,28.4711027616417
0.325216216216216,28.5364883467311
0.328218218218218,28.6007245536322
0.33122022022022,28.6638384656226
0.334222222222222,28.7258563958727
0.337224224224224,28.7868039121364
0.340226226226226,28.8467058606049
0.343228228228228,28.9055863889491
0.34623023023023,28.9634689685788
0.349232232232232,29.0203764161437
0.352234234234234,29.0763309143024
0.355236236236236,29.1313540317833
0.358238238238238,29.1854667427625
0.36124024024024,29.2386894455806
0.364242242242242,29.291041980823
0.367244244244244,29.3425436487837
0.370246246246246,29.3932132263351
0.373248248248248,29.4430689832248
0.37625025025025,29.4921286978176
0.379252252252252,29.5404096723045
0.382254254254254,29.5879287473957
0.385256256256256,29.6347023165161
0.388258258258258,29.6807463395211
0.39126026026026,29.7260763559497
0.394262262262262,29.7707074978308
0.397264264264264,29.8146545020592
0.400266266266266,29.8579317223553
0.403268268268268,29.9005531408244
0.40627027027027,29.9425323791305
0.409272272272272,29.983882709295
0.412274274274274,30.0246170641379
0.415276276276276,30.0647480473712
0.418278278278278,30.1042879433575
0.42128028028028,30.1432487265461
0.424282282282282,30.1816420705984
0.427284284284284,30.219479357212
0.430286286286286,30.2567716846557
0.433288288288288,30.2935298760254
0.43629029029029,30.3297644872296
0.439292292292292,30.3654858147154
0.442294294294294,30.4007039029439
0.445296296296296,30.4354285516227
0.448298298298298,30.4696693227055
0.4513003003003,30.5034355471658
0.454302302302302,30.5367363315541
0.457304304304304,30.5695805643434
0.460306306306306,30.6019769220745
0.463308308308308,30.6339338753034
0.46631031031031,30.6654596943619
0.469312312312312,30.6965624549346
0.472314314314314,30.7272500434613
0.475316316316316,30.7575301623681
0.478318318318318,30.7874103351364
0.48132032032032,30.8168979112118
0.484322322322322,30.8460000707612
0.487324324324324,30.8747238292821
0.490326326326326,30.9030760420691
0.493328328328328,30.9310634085426
0.49633033033033,30.9586924764447
0.499332332332332,30.9859696459065
0.502334334334334,31.012901173391
0.505336336336336,31.0394931755161
0.508338338338338,31.065751632762
0.51134034034034,31.0916823930655
0.514342342342342,31.1172911753072
0.517344344344344,31.1425835726931
0.520346346346346,31.1675650560355
0.523348348348348,31.1922409769356
