s,I_2k
0.001,0.217519344234386
0.004002002002002,0.866211477105162
0.007004004004004,1.50816433078006
0.010006006006006,2.14303204076397
0.013008008008008,2.77049535394727
0.01601001001001,3.39026162443211
0.019012012012012,4.00206464870221
0.022014014014014,4.60566435265965
0.025016016016016,5.20084634378932
0.028018018018018,5.78742134217808
0.03102002002002,6.36522450433033
0.034022022022022,6.93411465370773
0.037024024024024,7.49397343170413
0.040026026026026,8.04470438237337
0.043028028028028,8.58623198368638
0.04603003003003,9.11850063743112
0.049032032032032,9.64147362911105
0.052034034034034,10.1551320683702
0.055036036036036,10.6594738195978
0.058038038038038,11.1545124314644
0.06104004004004,11.6402760732318
0.064042042042042,12.116806484776
0.0670440440440441,12.5841579463863
0.0700460460460461,13.0423962735489
0.073048048048048,13.4915978411221
0.0760500500500501,13.9318486405481
0.0790520520520521,14.3632433730382
0.0820540540540541,14.78588458102
0.0850560560560561,15.1998818195381
0.0880580580580581,15.6053508687637
0.0910600600600601,16.0024129882902
0.0940620620620621,16.3911942134648
0.0970640640640641,16.771824693636
0.100066066066066,17.1444380718751
0.103068068068068,17.5091709054554
0.10607007007007,17.8661621261425
0.109072072072072,18.2155525391575
0.112074074074074,18.557484359523
0.115076076076076,18.89210078438
0.118078078078078,19.2195455997718
0.12108008008008,19.5399628203285
0.124082082082082,19.8534963602412
0.127084084084084,20.1602897338954
0.130086086086086,20.4604857845289
0.133088088088088,20.754226439287
0.13609009009009,21.0416524890759
0.139092092092092,21.3229033916443
0.142094094094094,21.598117096366
0.145096096096096,21.8674298892474
0.148098098098098,22.130976256734
0.1511001001001,22.3888887669505
0.154102102102102,22.6412979670683
0.157104104104104,22.8883322955578
0.160106106106106,23.1301180081444
0.163108108108108,23.3667791163522
0.16611011011011,23.5984373375827
0.169112112112112,23.8252120557358
0.172114114114114,24.0472202914433
0.175116116116116,24.2645766810445
0.178118118118118,24.4773934634877
0.18112012012012,24.6857804744013
0.184122122122122,24.8898451466262
0.187124124124124,25.0896925165545
0.190126126126126,25.2854252356677
0.193128128128128,25.4771435867101
0.19613013013013,25.6649455039812
0.199132132132132,25.8489265972655
0.202134134134134,26.0291801789616
0.205136136136136,26.2057972940059
0.208138138138138,26.3788667522193
0.21114014014014,26.5484751627381
0.214142142142142,26.7147069702198
0.217144144144144,26.8776444925397
0.220146146146146,27.0373679597229
0.223148148148148,27.1939555538756
0.22615015015015,27.3474834499074
0.229152152152152,27.4980258568491
0.232154154154154,27.6456550595963
0.235156156156156,27.7904414609219
0.238158158158158,27.9324536236176
0.24116016016016,28.0717583126399
0.244162162162162,28.2084205371492
0.247164164164164,28.3425035923423
0.250166166166166,28.4740691009901
0.253168168168168,28.603177054604
0.25617017017017,28.7298858541622
0.259172172172172,28.8542523503364
0.262174174174174,28.9763318831677
0.265176176176176,29.0961783211472
0.268178178178178,29.2138440996636
0.27118018018018,29.3293802587853
0.274182182182182,29.4428364803514
0.277184184184184,29.554261124349
0.280186186186186,29.66370126456
0.283188188188188,29.7712027234638
0.28619019019019,29.8768101063861
0.289192192192192,29.9805668348872
0.292194194194194,30.0825151793858
0.295196196196196,30.1826962910177
0.298198198198198,30.2811502327293
0.3012002002002,30.3779160096097
0.304202202202202,30.4730315984665
0.307204204204204,30.5665339766504
0.310206206206206,30.6584591501378
0.313208208208208,30.7488421808795
0.31621021021021,30.8377172134248
0.319212212212212,30.925117500834
0.322214214214214,31.0110754298884
0.325216216216216,31.0956225456116
0.328218218218218,31.1787895751146
0.33122022022022,31.2606064507774
0.334222222222222,31.341102332781
0.337224224224224,31.4203056310043
0.340226226226226,31.4982440262981
0.343228228228228,31.5749444911528
0.34623023023023,31.6504333097716
0.349232232232232,31.7247360975651
0.352234234234234,31.7978778200816
0.355236236236236,31.8698828113857
0.358238238238238,31.9407747919011
0.36124024024024,32.0105768857307
0.364242242242242,32.0793116374679
0.367244244244244,32.1470010285134
0.370246246246246,32.2136664929094
0.373248248248248,32.2793289327067
0.37625025025025,32.3440087328763
0.379252252252252,32.407725775778
0.382254254254254,32.4704994551999
0.385256256256256,32.5323486899807
0.388258258258258,32.5932919372259
0.39126026026026,32.6533472051307
0.394262262262262,32.7125320654214
0.397264264264264,32.7708636654252
0.400266266266266,32.8283587397812
0.403268268268268,32.8850336218018
0.40627027027027,32.9409042544956
0.409272272272272,32.9959862012624
0.412274274274274,33.0502946562691
0.415276276276276,33.1038444545177
0.418278278278278,33.1566500816132
0.42128028028028,33.2087256832415
0.424282282282282,33.2600850743665
0.427284284284284,33.3107417481533
0.430286286286286,33.3607088846287
0.433288288288288,33.4099993590836
0.43629029029029,33.4586257502291
0.439292292292292,33.5066003481103
0.442294294294294,33.5539351617882
0.445296296296296,33.6006419267945
0.448298298298298,33.6467321123688
0.4513003003003,33.6922169284819
0.454302302302302,33.7371073326554
0.457304304304304,33.7814140365806
0.460306306306306,33.8251475125452
0.463308308308308,33.8683179996727
0.46631031031031,33.9109355099803
0.469312312312312,33.9530098342619
0.472314314314314,33.9945505478001
0.475316316316316,34.035567015914
0.478318318318318,34.0760683993468
0.48132032032032,34.1160636594986
0.484322322322322,34.1555615635096
0.487324324324324,34.1945706891971
0.490326326326326,34.2330994298523
0.493328328328328,34.2711559989004
0.49633033033033,34.3087484344279
0.499332332332332,34.3458846035818
0.502334334334334,34.3825722068454
0.505336336336336,34.4188187821916
0.508338338338338,34.4546317091216
0.51134034034034,34.4900182125885
0.514342342342342,34.5249853668124
0.517344344344344,34.5595400989882
0.520346346346346,34.5936891928908
0.523348348348348,34.6274392923799
