s,M
0.001,0.909958572636729
0.004002002002002,3.60526546498756
0.007004004004004,6.24294299795573
0.010006006006006,8.81941980157947
0.013008008008008,11.3315236501521
0.01601001001001,13.7764808168513
0.019012012012012,16.1519115545698
0.022014014014014,18.4558220690844
0.025016016016016,20.6865933799344
0.028018018018018,22.8429674816195
0.03102002002002,24.9240312239032
0.034022022022022,26.9291983262841
0.037024024024024,28.8581899294235
0.040026026026026,30.7110140669273
0.043028028028028,32.4879444158261
0.04603003003003,34.1894986548057
0.049032032032032,35.8164167270406
0.052034034034034,37.3696392706031
0.055036036036036,38.8502864449306
0.058038038038038,40.2596373476534
0.06104004004004,41.5991101829871
0.064042042042042,42.8702433114614
0.0670440440440441,44.0746772814682
0.0700460460460461,45.2141379162616
0.073048048048048,46.2904205058485
0.0760500500500501,47.3053751317444
0.0790520520520521,48.2608931338544
0.0820540540540541,49.1588947127005
0.0850560560560561,50.0013176467324
0.0880580580580581,50.7901070933776
0.0910600600600601,51.5272064336037
0.0940620620620621,52.214549112892
0.0970640640640641,52.8540514264325
0.100066066066066,53.447606192832
0.103068068068068,53.9970772584811
0.10607007007007,54.5042947737373
0.109072072072072,54.9710511820778
0.112074074074074,55.3990978641808
0.115076076076076,55.7901423803474
0.118078078078078,56.1458462566514
0.12108008008008,56.4678232625627
0.124082082082082,56.7576381304449
0.127084084084084,57.0168056701631
0.130086086086086,57.2467902350056
0.133088088088088,57.4490054981258
0.13609009009009,57.6248145017262
0.139092092092092,57.7755299441681
0.142094094094094,57.9024146730759
0.145096096096096,58.0066823552854
0.148098098098098,58.0894982971441
0.1511001001001,58.1519803911856
0.154102102102102,58.1952001675724
0.157104104104104,58.2201839309216
0.160106106106106,58.22791396519
0.163108108108108,58.2193297912099
0.16611011011011,58.195329463229
0.169112112112112,58.1567708924249
0.172114114114114,58.1044731868464
0.175116116116116,58.0392179985764
0.178118118118118,57.9617508701384
0.18112012012012,57.8727825732688
0.184122122122122,57.7729904341757
0.187124124124124,57.6630196402953
0.190126126126126,57.5434845243618
0.193128128128128,57.4149698223128
0.19613013013013,57.2780319021933
0.199132132132132,57.1331999617765
0.202134134134134,56.9809771931187
0.205136136136136,56.8218419127001
0.208138138138138,56.6562486561824
0.21114014014014,56.4846292371486
0.214142142142142,56.3073937694766
0.217144144144144,56.1249316532478
0.220146146146146,55.937612524304
0.223148148148148,55.7457871677472
0.22615015015015,55.5497883958319
0.229152152152152,55.3499318908256
0.232154154154154,55.1465170135203
0.235156156156156,54.9398275781657
0.238158158158158,54.7301325946629
0.24116016016016,54.5176869789125
0.244162162162162,54.3027322322529
0.247164164164164,54.0854970909536
0.250166166166166,53.8661981467504
0.253168168168168,53.6450404394177
0.25617017017017,53.4222180223808
0.259172172172172,53.1979145023669
0.262174174174174,52.9723035540863
0.265176176176176,52.7455494109242
0.268178178178178,52.5178073326067
0.27118018018018,52.2892240507877
0.274182182182182,52.0599381934799
0.277184184184184,51.8300806892316
0.280186186186186,51.5997751519261
0.283188188188188,51.3691382470527
0.28619019019019,51.1382800402744
0.289192192192192,50.9073043290871
0.292194194194194,50.6763089583398
0.295196196196196,50.4453861203552
0.298198198198198,50.2146226403648
0.3012002002002,49.9841002479423
0.304202202202202,49.7538958350945
0.307204204204204,49.5240817016399
0.310206206206206,49.2947257884805
0.313208208208208,49.0658918993469
0.31621021021021,48.8376399115688
0.319212212212212,48.6100259764037
0.322214214214214,48.3831027094285
0.325216216216216,48.1569193714782
0.328218218218218,47.931522040594
0.33122022022022,47.7069537754208
0.334222222222222,47.4832547704739
0.337224224224224,47.2604625036767
0.340226226226226,47.0386118765486
0.343228228228228,46.8177353474089
0.34623023023023,46.5978630579411
0.349232232232232,46.3790229534478
0.352234234234234,46.1612408971092
0.355236236236236,45.944540778543
0.358238238238238,45.7289446169507
0.36124024024024,45.5144726591187
0.364242242242242,45.3011434725306
0.367244244244244,45.088974033836
0.370246246246246,44.8779798129055
0.373248248248248,44.6681748526939
0.37625025025025,44.4595718451193
0.379252252252252,44.2521822031583
0.382254254254254,44.0460161293452
0.385256256256256,43.8410826808553
0.388258258258258,43.6373898313421
0.39126026026026,43.4349445296911
0.394262262262262,43.2337527558431
0.397264264264264,43.0338195738338
0.400266266266266,42.8351491821877
0.403268268268268,42.6377449617991
0.40627027027027,42.4416095214237
0.409272272272272,42.2467447409011
0.412274274274274,42.05315181222
0.415276276276276,41.860831278534
0.418278278278278,41.6697830712291
0.42128028028028,41.4800065451398
0.424282282282282,41.2915005120052
0.427284284284284,41.1042632722533
0.430286286286286,40.918292645195
0.433288288288288,40.7335859977067
0.43629029029029,40.5501402714768
0.439292292292292,40.3679520088863
0.442294294294294,40.1870173775911
0.445296296296296,40.0073321938703
0.448298298298298,39.8288919448002
0.4513003003003,39.6516918093132
0.454302302302302,39.4757266781953
0.457304304304304,39.3009911730746
0.460306306306306,39.127479664451
0.463308308308308,38.9551862888126
0.46631031031031,38.7841049648855
0.469312312312312,38.6142294090574
0.472314314314314,38.4455531500169
0.475316316316316,38.2780695426467
0.478318318318318,38.1117717812056
0.48132032032032,37.9466529118366
0.484322322322322,37.7827058444315
0.487324324324324,37.6199233638851
0.490326326326326,37.4582981407672
0.493328328328328,37.2978227414431
0.49633033033033,37.1384896376663
0.499332332332332,36.9802912156719
0.502334334334334,36.8232197847934
0.505336336336336,36.6672675856264
0.508338338338338,36.5124267977617
0.51134034034034,36.3586895471077
0.514342342342342,36.2060479128234
0.517344344344344,36.0544939338798
0.520346346346346,35.904019615268
0.523348348348348,35.7546169338717
