s,P_2
0.001,142.793356297188
0.004002002002002,564.048705079322
0.007004004004004,973.773069223617
0.010006006006006,1371.49259736056
0.013008008008008,1756.80205651156
0.01601001001001,2129.3637912458
0.019012012012012,2488.90608773559
0.022014014014014,2835.2210117437
0.025016016016016,3168.16179267244
0.028018018018018,3487.63982694468
0.03102002002002,3793.62137337033
0.034022022022022,4086.12401100715
0.037024024024024,4365.21292660228
0.040026026026026,4630.99709425749
0.043028028028028,4883.62540474847
0.04603003003003,5123.28279618749
0.049032032032032,5350.18643166759
0.052034034034034,5564.58196336137
0.055036036036036,5766.73991643593
0.058038038038038,5956.95222022672
0.06104004004004,6135.52890849718
0.064042042042042,6302.79500538309
0.0670440440440441,6459.08760883757
0.0700460460460461,6604.75317909235
0.073048048048048,6740.14503584952
0.0760500500500501,6865.62106461702
0.0790520520520521,6981.5416297879
0.0820540540540541,7088.26768971569
0.0850560560560561,7186.15910712656
0.0880580580580581,7275.57314669684
0.0910600600600601,7356.8631504758
0.0940620620620621,7430.37738100603
0.0970640640640641,7496.45802145033
0.100066066066066,7555.44032173335
0.103068068068068,7607.65187961391
0.10607007007007,7653.41204568349
0.109072072072072,7693.03144150803
0.112074074074074,7726.81158046397
0.115076076076076,7755.04458124108
0.118078078078078,7778.01296447109
0.12108008008008,7795.98952347346
0.124082082082082,7809.23726067116
0.127084084084084,7818.00938180626
0.130086086086086,7822.54934066597
0.133088088088088,7823.09092760495
0.13609009009009,7819.85839571194
0.139092092092092,7813.0666190122
0.142094094094094,7802.92127761754
0.145096096096096,7789.61906522925
0.148098098098098,7773.34791486509
0.1511001001001,7754.28723911681
0.154102102102102,7732.60818165017
0.157104104104104,7708.47387703495
0.160106106106106,7682.03971633759
0.163108108108108,7653.45361622635
0.16611011011011,7622.85628962733
0.169112112112112,7590.38151623298
0.172114114114114,7556.15641140199
0.175116116116116,7520.30169220393
0.178118118118118,7482.93193955453
0.18112012012012,7444.15585555966
0.184122122122122,7404.07651533951
0.187124124124124,7362.79161274086
0.190126126126126,7320.39369946579
0.193128128128128,7276.97041725138
0.19613013013013,7232.60472282822
0.199132132132132,7187.37510546649
0.202134134134134,7141.3557969896
0.205136136136136,7094.61697419586
0.208138138138138,7047.22495368169
0.21114014014014,6999.24237910409
0.214142142142142,6950.72840095858
0.217144144144144,6901.73884898033
0.220146146146146,6852.32639730274
0.223148148148148,6802.5407225295
0.22615015015015,6752.4286548937
0.229152152152152,6702.03432269128
0.232154154154154,6651.39929018685
0.235156156156156,6600.56268919775
0.238158158158158,6549.56134456771
0.24116016016016,6498.42989374453
0.244162162162162,6447.20090067828
0.247164164164164,6395.90496425589
0.250166166166166,6344.57082148728
0.253168168168168,6293.22544565549
0.25617017017017,6241.89413964023
0.259172172172172,6190.60062461981
0.262174174174174,6139.3671243526
0.265176176176176,6088.21444523296
0.268178178178178,6037.16205231222
0.27118018018018,5986.22814146859
0.274182182182182,5935.42970790439
0.277184184184184,5884.78261114286
0.280186186186186,5834.3016366903
0.283188188188188,5784.00055452341
0.28619019019019,5733.89217455517
0.289192192192192,5683.98839922677
0.292194194194194,5634.3002733667
0.295196196196196,5584.83803145229
0.298198198198198,5535.61114240313
0.3012002002002,5486.62835203004
0.304202202202202,5437.89772325772
0.307204204204204,5389.42667423383
0.310206206206206,5341.22201443199
0.313208208208208,5293.2899788512
0.31621021021021,5245.63626040921
0.319212212212212,5198.2660406228
0.322214214214214,5151.1840186634
0.325216216216216,5104.394438872
0.328218218218218,5057.90111681344
0.33122022022022,5011.70746394593
0.334222222222222,4965.81651097795
0.337224224224224,4920.23092998117
0.340226226226226,4874.95305532431
0.343228228228228,4829.98490348972
0.34623023023023,4785.32819183134
0.349232232232232,4740.98435632954
0.352234234234234,4696.95456839566
0.355236236236236,4653.239750776
0.358238238238238,4609.84059260308
0.36124024024024,4566.75756363864
0.364242242242242,4523.99092775133
0.367244244244244,4481.54075566923
0.370246246246246,4439.40693704565
0.373248248248248,4397.58919187419
0.37625025025025,4356.08708128774
0.379252252252252,4314.9000177736
0.382254254254254,4274.02727483586
0.385256256256256,4233.46799613401
0.388258258258258,4193.22120412555
0.39126026026026,4153.28580823872
0.394262262262262,4113.66061260028
0.397264264264264,4074.3443233417
0.400266266266266,4035.33555550609
0.403268268268268,3996.63283957693
0.40627027027027,3958.23462764863
0.409272272272272,3920.13929925765
0.412274274274274,3882.34516689233
0.415276276276276,3844.85048119819
0.418278278278278,3807.65343589483
0.42128028028028,3770.75217241968
0.424282282282282,3734.14478431299
0.427284284284284,3697.82932135763
0.430286286286286,3661.80379348676
0.433288288288288,3626.0661744715
0.43629029029029,3590.61440540027
0.439292292292292,3555.44639796077
0.442294294294294,3520.56003753492
0.445296296296296,3485.95318611681
0.448298298298298,3451.62368506282
0.4513003003003,3417.56935768283
0.454302302302302,3383.78801168091
0.457304304304304,3350.27744145343
0.460306306306306,3317.03543025209
0.463308308308308,3284.05975221909
0.46631031031031,3251.34817430102
0.469312312312312,3218.89845804808
0.472314314314314,3186.70836130459
0.475316316316316,3154.77563979652
0.478318318318318,3123.09804862156
0.48132032032032,3091.67334364688
0.484322322322322,3060.49928281944
0.487324324324324,3029.57362739352
0.490326326326326,2998.8941430799
0.493328328328328,2968.4586011208
0.49633033033033,2938.26477929454
0.499332332332332,2908.3104628538
0.502334334334334,2878.59344540081
0.505336336336336,2849.11152970301
0.508338338338338,2819.86252845236
0.51134034034034,2790.84426497123
0.514342342342342,2762.05457386788
0.517344344344344,2733.49130164409
0.520346346346346,2705.15230725772
