iter	RMSE
0	0.1502227111
1	0.1444940831
2	0.1387556409
3	0.1335017743
4	0.1284884551
5	0.1235987696
6	0.1188868576
7	0.1143216298
8	0.1101937775
9	0.1062058867
10	0.1022245391
11	0.09845745596
12	0.09484850825
13	0.09140568832
14	0.08819315376
15	0.08522526969
16	0.08227290212
17	0.07943157433
18	0.07686346346
19	0.07432709536
20	0.07189316776
21	0.06949247359
22	0.06722115158
23	0.06512310815
24	0.06308432902
25	0.0611369873
26	0.05940510859
27	0.05763272239
28	0.05604089824
29	0.05444382424
30	0.05291808618
31	0.05146151925
32	0.05009440407
33	0.04888546449
34	0.04753419761
35	0.04621575135
36	0.04499293852
37	0.04391369062
38	0.04276934849
39	0.04168090098
40	0.04065376527
41	0.03969832937
42	0.03878046275
43	0.03791355573
44	0.03708966679
45	0.03629929972
46	0.03552107353
47	0.03483155178
48	0.03419544411
49	0.03354243928
50	0.03294179571
51	0.03234513336
52	0.03181030607
53	0.03126371195
54	0.03073787044
55	0.03021624103
56	0.02970916845
57	0.02925292199
58	0.0288023941
59	0.02837617778
60	0.0279602427
61	0.02756380726
62	0.02718731264
63	0.02676144092
64	0.02640457844
65	0.02606502208
66	0.02574706157
67	0.02542605613
68	0.02506716603
69	0.02473462252
70	0.024428143
71	0.02413118565
72	0.02381947374
73	0.02354919387
74	0.02325792399
75	0.02299432315
76	0.02275346197
77	0.02250417633
78	0.02225049876
79	0.02201432579
80	0.02178876739
81	0.02156289337
82	0.02133807137
83	0.02113228158
84	0.02092555535
85	0.02069129557
86	0.0204934802
87	0.02030446055
88	0.0201152644
89	0.0199396592
90	0.01975057917
91	0.01957957028
92	0.0193823292
93	0.01922728952
94	0.01905268358
95	0.01889693962
96	0.01874897075
97	0.01858225265
98	0.01842687816
99	0.01827702523
100	0.01814557747
101	0.01799469447
102	0.01786756698
103	0.01773096088
104	0.01760620141
105	0.01748215992
106	0.01734453532
107	0.01722309136
108	0.01709878902
109	0.01699245161
110	0.01687040977
111	0.01676931961
112	0.01666051654
113	0.01656180496
114	0.01642970424
115	0.01631672825
116	0.01620685979
117	0.0161139469
118	0.01602122069
119	0.01592337399
120	0.01583314657
121	0.01573092899
122	0.0156481353
123	0.01556441537
124	0.01547875392
125	0.01538591861
126	0.01529662703
127	0.01522062475
128	0.01514079567
129	0.01506736364
130	0.01498822592
131	0.0149097623
132	0.01483934953
133	0.01475762995
134	0.01469009472
135	0.01460976359
136	0.01454350282
137	0.01447922797
138	0.01441684807
139	0.01435101081
140	0.0142939538
141	0.01423907789
142	0.01418369858
143	0.01412484187
144	0.01406612095
145	0.01401104938
146	0.01394851585
147	0.01389503405
148	0.01384774213
149	0.01379187343
150	0.0137448543
151	0.01369534651
152	0.0136323331
153	0.01358654603
154	0.01353639337
155	0.01349565522
156	0.01344476882
157	0.01339860372
158	0.01334472987
159	0.0133039998
160	0.0132679347
161	0.01323225844
162	0.01319680243
163	0.01315956714
164	0.01312587874
165	0.01307656892
166	0.01304489137
167	0.01301110438
168	0.01297402365
169	0.01294293988
170	0.01291244254
171	0.01286995308
172	0.01284078445
173	0.01281093637
174	0.01278285972
175	0.01275746988
176	0.01272851815
177	0.01270366798
178	0.01267353415
179	0.01265216304
180	0.01262890712
181	0.01260621441
182	0.01257907093
183	0.01255757078
184	0.01252658754
185	0.01250037473
186	0.01247782861
187	0.01244319845
188	0.0124211244
189	0.01239838802
190	0.01237769668
191	0.01235519458
192	0.01233584153
193	0.01231436224
194	0.0122898902
195	0.01226918369
196	0.01225163679
197	0.01222959679
198	0.01221256446
199	0.01219629031
200	0.01217502882
201	0.01215562752
202	0.01214116837
203	0.01211589463
204	0.01209204808
205	0.01207889364
206	0.01206426859
207	0.01204988649
208	0.01203550632
209	0.01202263672
210	0.01200615652
211	0.01199281245
212	0.01197593053
213	0.0119558369
214	0.01194322433
215	0.01193064546
216	0.01191834514
217	0.01190672613
218	0.01189505428
219	0.01188423577
220	0.01187061193
221	0.01185634742
222	0.01184638671
223	0.01182918343
224	0.01181312242
225	0.01180333435
226	0.01179318235
227	0.01178468735
228	0.01177535921
229	0.01176522217
230	0.0117559745
231	0.01174784035
232	0.01173454196
233	0.01172232109
234	0.01171321149
235	0.01168077583
236	0.01166945582
237	0.01166121657
238	0.01165376243
239	0.01164669994
240	0.01163477254
241	0.01162776365
242	0.01161731239
243	0.01160850699
244	0.01160110071
245	0.01159495978
246	0.01158730132
247	0.01157717648
248	0.01156993924
249	0.01156159463
250	0.01155595118
251	0.0115499917
252	0.01154293036
253	0.01153456523
254	0.01152823217
255	0.01152312009
256	0.01151726345
257	0.01151169768
258	0.01150581913
259	0.01150120876
260	0.01149507303
261	0.01148801748
262	0.0114812923
263	0.01147409627
264	0.01146696471
265	0.01146023207
266	0.01145336763
267	0.01144760369
268	0.01144255609
269	0.01143724728
270	0.0114316401
271	0.01142485522
