iter	Passed	Remaining
413	3261	95222
414	3271	95259
415	3278	95230
416	3286	95238
417	3294	95221
418	3303	95242
419	3309	95201
420	3317	95192
421	3325	95172
422	3331	95125
423	3340	95143
424	3346	95078
425	3355	95104
426	3361	95030
427	3368	95011
428	3375	94969
429	3382	94959
430	3388	94887
431	3396	94882
432	3403	94857
433	3411	94840
434	3419	94854
435	3426	94810
436	3434	94811
437	3441	94781
438	3458	95015
439	3465	94994
440	3473	94985
441	3480	94951
442	3490	95005
443	3496	94951
444	3504	94938
445	3511	94902
446	3518	94865
447	3526	94870
448	3533	94840
449	3541	94825
450	3548	94814
451	3556	94785
452	3562	94750
453	3569	94709
454	3577	94696
455	3585	94695
456	3593	94687
457	3601	94705
458	3607	94643
459	3615	94635
460	3623	94623
461	3635	94739
462	3644	94737
463	3650	94703
464	3658	94687
465	3664	94634
466	3670	94586
467	3676	94530
468	3685	94529
469	3693	94525
470	3700	94499
471	3706	94460
472	3714	94449
473	3724	94483
474	3731	94466
475	3738	94440
476	3747	94446
477	3753	94412
478	3761	94389
479	3766	94319
480	3773	94288
481	3779	94225
482	3785	94188
483	3793	94189
484	3801	94175
485	3807	94123
486	3815	94114
487	3822	94101
488	3830	94083
489	3837	94068
490	3844	94039
491	3852	94032
492	3858	93980
493	3867	93989
494	3875	93993
495	3882	93962
496	3889	93940
497	3895	93889
498	3901	93828
499	3909	93826
500	3917	93820
501	3923	93774
502	3931	93764
503	3939	93767
504	3946	93750
505	3955	93756
506	3962	93731
507	3974	93823
508	3986	93907
509	3993	93897
510	4001	93891
511	4010	93909
512	4018	93891
513	4025	93880
514	4033	93877
515	4042	93887
516	4052	93917
517	4060	93921
518	4066	93883
519	4076	93906
520	4085	93927
521	4091	93875
522	4096	93820
523	4105	93825
524	4112	93803
525	4118	93763
526	4126	93760
527	4133	93714
528	4142	93735
529	4149	93717
530	4156	93694
531	4164	93688
532	4170	93639
533	4177	93601
534	4184	93582
535	4195	93649
536	4204	93667
537	4211	93634
538	4219	93624
539	4224	93566
540	4233	93582
541	4240	93560
542	4249	93568
543	4257	93575
544	4264	93542
545	4273	93563
546	4281	93569
547	4289	93556
548	4296	93537
549	4303	93509
550	4311	93490
551	4317	93453
552	4324	93430
553	4330	93377
554	4338	93372
555	4344	93322
556	4350	93291
557	4356	93235
558	4366	93278
559	4376	93307
560	4381	93249
561	4388	93227
562	4395	93189
563	4403	93186
564	4411	93186
565	4419	93184
566	4428	93208
567	4434	93155
568	4441	93136
569	4449	93118
570	4456	93104
571	4462	93049
572	4470	93048
573	4476	93000
574	4486	93038
575	4495	93054
576	4502	93045
577	4514	93118
578	4523	93128
579	4530	93114
580	4536	93071
581	4545	93074
582	4551	93046
583	4565	93161
584	4574	93176
585	4582	93168
586	4589	93147
587	4599	93182
588	4605	93137
589	4613	93124
590	4621	93119
591	4629	93112
592	4637	93109
593	4644	93093
594	4652	93081
595	4660	93076
596	4667	93059
597	4674	93039
598	4681	93016
599	4689	93015
600	4696	92979
601	4704	92974
602	4710	92934
603	4718	92925
604	4723	92878
605	4731	92858
606	4740	92876
607	4756	93027
608	4768	93100
609	4774	93069
610	4782	93065
611	4788	93014
612	4795	93001
613	4802	92977
614	4815	93056
615	4828	93155
616	4845	93315
617	4859	93438
618	4872	93523
619	4885	93603
620	4890	93549
621	4897	93534
622	4904	93499
623	4912	93490
624	4918	93460
625	4930	93521
626	4937	93506
627	4943	93457
628	4950	93424
629	4956	93391
630	4964	93379
631	4970	93337
632	4981	93398
633	4997	93537
634	5006	93544
635	5012	93507
636	5019	93484
637	5025	93444
638	5032	93409
639	5040	93412
640	5048	93393
641	5056	93392
642	5063	93367
643	5073	93394
644	5079	93362
645	5086	93330
646	5091	93276
647	5099	93274
648	5107	93261
649	5115	93258
650	5123	93252
651	5128	93198
652	5136	93192
653	5142	93144
654	5151	93150
655	5158	93130
