iter	RMSE
0	0.1502613188
1	0.1443181706
2	0.1386482853
3	0.1333265786
4	0.1281660791
5	0.1232318885
6	0.1185085648
7	0.1140251374
8	0.1097636019
9	0.1057065096
10	0.1018356268
11	0.09810691967
12	0.09455047735
13	0.09113273715
14	0.08798951749
15	0.08489804605
16	0.08190248122
17	0.07909641017
18	0.07638581147
19	0.07383528064
20	0.07138166641
21	0.06905155082
22	0.06684311856
23	0.06486019514
24	0.06287116924
25	0.06093402375
26	0.05914206072
27	0.05735935347
28	0.05566478408
29	0.0540707442
30	0.05254965947
31	0.0510911412
32	0.04976206095
33	0.04852363332
34	0.04729561594
35	0.04612888118
36	0.04497960245
37	0.04391468602
38	0.04285702805
39	0.04181206989
40	0.04082224194
41	0.03984710419
42	0.03896865105
43	0.0381043484
44	0.03730048146
45	0.03649815793
46	0.03573343472
47	0.0350255831
48	0.0343211555
49	0.0336758999
50	0.03308303461
51	0.03248084561
52	0.03192184789
53	0.03139712609
54	0.03087851492
55	0.03038021078
56	0.02989438634
57	0.02937495111
58	0.02892270404
59	0.02851000744
60	0.02810202704
61	0.02764377971
62	0.02726054996
63	0.02684875793
64	0.02648990031
65	0.02615508543
66	0.02582534908
67	0.02550762424
68	0.0251879959
69	0.02486868445
70	0.02457478622
71	0.02423294954
72	0.02394776198
73	0.02363112423
74	0.02334707203
75	0.02310160267
76	0.02286631468
77	0.02259853652
78	0.02234902085
79	0.02211629978
80	0.02188628705
81	0.02165421567
82	0.021419387
83	0.02120869777
84	0.02099359221
85	0.02079442359
86	0.02057795799
87	0.0203899647
88	0.02020551
89	0.02000690117
90	0.01980058436
91	0.01961776107
92	0.0194223908
93	0.01925400713
94	0.01908482568
95	0.01891798813
96	0.01875176335
97	0.01860290453
98	0.01844316572
99	0.01830096578
100	0.01816096577
101	0.01801661586
102	0.01787488471
103	0.01773434147
104	0.01758571566
105	0.01745178312
106	0.01730984315
107	0.01718088735
108	0.01705697272
109	0.0169456105
110	0.0168347639
111	0.0167214254
112	0.01660331008
113	0.01649696858
114	0.01637661246
115	0.01626603384
116	0.01615883712
117	0.0160589366
118	0.01595684422
119	0.01585504977
120	0.01575952331
121	0.01566513687
122	0.01557674361
123	0.01549013125
124	0.01540218982
125	0.01531070401
126	0.01522515084
127	0.01514515227
128	0.01506982521
129	0.01499414891
130	0.01490839418
131	0.01482911627
132	0.01476060684
133	0.01467529401
134	0.01460927823
135	0.01453460828
136	0.01446615135
137	0.01440363848
138	0.01433678976
139	0.0142675276
140	0.01420803028
141	0.0141439039
142	0.01409104744
143	0.01403738374
144	0.01397759069
145	0.01391573404
146	0.0138636465
147	0.01380870181
148	0.01375352294
149	0.01369784413
150	0.01364680812
151	0.01360176021
152	0.01355605733
153	0.01349510859
154	0.01345013902
155	0.01340087408
156	0.01335865608
157	0.01331479556
158	0.01326026182
159	0.0132221921
160	0.01318500384
161	0.01314901852
162	0.01311075073
163	0.01307658093
164	0.01303895286
165	0.01299134188
166	0.01296237932
167	0.01292577293
168	0.01288809283
169	0.01285420836
170	0.01282267928
171	0.01278113885
172	0.01274793252
173	0.01271625376
174	0.01268786723
175	0.01266444122
176	0.01263547257
177	0.01260728416
178	0.01258195868
179	0.01255186474
180	0.01252704656
181	0.01250131533
182	0.01247353703
183	0.01244659595
184	0.01242352372
185	0.01240109483
186	0.01238084844
187	0.01235769704
188	0.01233372899
189	0.0123129709
190	0.01229099022
191	0.01227122597
192	0.0122391668
193	0.01221852905
194	0.01220027984
195	0.01217116007
196	0.01215269478
197	0.01213358511
198	0.01211568673
199	0.01210029021
200	0.01207432786
201	0.01205537736
202	0.01203081682
203	0.01201256218
204	0.01199310761
205	0.01196975132
206	0.0119534615
207	0.01193585795
208	0.01192018916
209	0.01190675299
210	0.0118903962
211	0.01187599627
212	0.01186462516
213	0.01184528187
214	0.01183292885
215	0.01182133646
216	0.01180899971
217	0.01179539837
218	0.01177810013
219	0.01176490795
220	0.01175263035
221	0.01174182012
222	0.0117298407
223	0.01171973083
224	0.01170963379
225	0.01169561662
226	0.01168623851
